aadi:0.8450980400142568:6,0.8450980400142568; 
aay:0.8450980400142568:6,0.8450980400142568; 
aayyy:0.8450980400142568:6,0.8450980400142568; 
abalanz:0.8450980400142568:6,1.4357962207073829; 
aban:0.8450980400142568:6,0.8450980400142568; 
abandon:0.8450980400142568:6,2.0115118551903786; 
abarc:0.8450980400142568:6,1.5027121365481173; 
abarrot:0.8450980400142568:6,0.8450980400142568; 
abastec:0.8450980400142568:6,0.8450980400142568; 
abat:0.8450980400142568:6,1.0994978993353877; 
abertur:0.8450980400142568:6,1.7571119958692483; 
abiert:0.6020599913279624:0,0.6020599913279624; 6,1.4102789789022399; 
abism:0.47712125471966244:6,0.8106147001998716; 3,0.6207490639591157; 4,0.47712125471966244; 
aboll:0.8450980400142568:6,1.0994978993353877; 
abon:0.8450980400142568:6,1.0994978993353877; 
abord:0.8450980400142568:6,0.8450980400142568; 
abra:0.8450980400142568:6,1.608297617977649; 
abran:0.8450980400142568:6,1.5592887372501953; 
abras:0.8450980400142568:6,0.8450980400142568; 
abraz:0.8450980400142568:6,1.0994978993353877; 
abre:0.8450980400142568:6,1.2483122772269866; 
abren:0.8450980400142568:6,1.2483122772269866; 
abres:0.8450980400142568:6,1.0994978993353877; 
abri:0.8450980400142568:6,2.0934103172412435; 
abriend:0.8450980400142568:6,1.2483122772269866; 
abrier:0.8450980400142568:6,0.8450980400142568; 
abrieron:0.8450980400142568:6,1.6515265144397162; 
abrig:0.8450980400142568:6,0.8450980400142568; 
abrindos:0.8450980400142568:6,0.8450980400142568; 
abrir:0.8450980400142568:6,2.0115118551903786; 
abrirl:0.8450980400142568:6,1.0994978993353877; 
abrirs:0.8450980400142568:6,1.3538977586565184; 
abroch:0.8450980400142568:6,1.0994978993353877; 
abrum:0.8450980400142568:6,1.3538977586565184; 
abrupt:0.8450980400142568:6,1.2483122772269866; 
absolut:0.8450980400142568:6,1.3538977586565184; 
absorb:0.8450980400142568:6,1.0994978993353877; 
absort:0.8450980400142568:6,1.0994978993353877; 
absteng:0.8450980400142568:6,0.8450980400142568; 
absurd:0.8450980400142568:6,1.3538977586565184; 
abuch:0.8450980400142568:6,0.8450980400142568; 
aburr:0.8450980400142568:6,1.2483122772269866; 
ac:0.8450980400142568:6,1.813688596571326; 
acab:0.3424226808222063:0,0.3424226808222063; 1,0.44550217894536387; 2,0.44550217894536387; 5,0.5485816770685215; 6,0.9883998922819955; 
acall:0.8450980400142568:6,1.2483122772269866; 
acalor:0.8450980400142568:6,0.8450980400142568; 
acamp:0.8450980400142568:0,0.8450980400142568; 
acantil:0.8450980400142568:6,2.258184662467769; 
acas:0.8450980400142568:6,2.1499869179433215; 
acat:0.8450980400142568:6,0.8450980400142568; 
